art;variant;sort;dansk_navn;n
Cornus contreversa;NA;NA;Etagekornel;3
Eucommia ulmoides;NA;NA;Eucommia;3
Hamamelis hybr. intermedia;NA;NA;Hybrid-troldnød;3
Malus baccata;NA;Snowdrift;Paradisæble 'Snowdrift';3
Malus sieboldii;NA;Brouwers beauty;Japansk prydæble 'Brouwers beauty';3
Phellodendron amurense;NA;NA;Amur korktræ;3
Prunus domestica;NA;Italiensk sveske;Blomme 'Italiensk sveske';3
Prunus domestica;NA;Rivers Early Prolific;Blomme 'Rivers Early Prolific';3
Prunus domestica;NA;Toptaste;Blomme;3
Pyrus communis;NA;Charneau;Charneau-pære;3
Pyrus communis;NA;Conference;Conference-pære;3
Pyrus communis;NA;Herrepære;Pære 'Herrepære';3
Sorbus domestica;NA;NA;Storfrugtet røn;3
Tetradium daniellii;NA;NA;Honningtræ;3
Viburnum hybr. bodnantense;NA;NA;Kejserbusk;3
Zanthoxylum americanum;NA;NA;Tandpinetræ;3
Acer buergeranium;NA;NA;Tretandet løn;2
Calycanthus floridus;NA;NA;Kanelbusk;2
Cladrastis lutea;NA;NA;Almindelig kladrastis;2
Cotinus coggygria;NA;NA;Parykbusk;2
Crataegus submollis;NA;NA;Tjørn (intet dansk artsnavn);2
Euonymus alata;NA;NA;Vinget benved;2
Euonymus latifolius;NA;NA;Storbladet benved;2
Heptacodium miconioides;NA;NA;Himlens syv sønner;2
Kolkwitzia amabilis;NA;NA;Dronningebusk;2
Magnolia hybr.;NA;Galaxy;Magnolie 'Galaxy';2
Malus hybr.;NA;david;Paradisæble 'david';2
Malus ioensis;NA;Plena;Æble (intet dansk artsnavn);2
Phillyrea vilmoriniana;NA;NA;Stenved;2
Pistacie chinensis;NA;NA;Kinesisk pistacie;2
Platanus orientalis;NA;NA;Orientalsk platan;2
Populus koreana;NA;NA;Vårpoppel;2
Prunus americana;NA;NA;Amerikansk blomme;2
Prunus cerasus;NA;NA;Surkirsebær;2
Prunus domestica;NA;Czar;Blomme 'Czar';2
Prunus domestica;NA;Jubilæum;Blomme 'Jubilæum';2
Prunus domestica;NA;Victoria;Victoria-blomme;2
Prunus hybr. amygdalo-persica;NA;NA;Ferskenmandel;2
Prunus maackii;NA;Amber Shade;Mandshurisk kirsebær;2
Pterocarya rhoifolia;NA;NA;Rhusbladet vingevalnød;2
Pyrus communis;NA;NA;Pære;2
Quercus coccinea;NA;NA;Skarlagen-eg;2
Quercus ilex;NA;NA;Sten-eg;2
Quercus pubescens;NA;NA;Dun-eg;2
Rhus glabra;NA;lancianata;Hjortetaktræ;2
Robinia hybr. margaretta;NA;Pink Cascade;Robinie 'Pink Cascade';2
Salix matsudana;NA;Tortuosa;Troldpil;2
Salix purpurea;NA;Gracilis;Purpurpil;2
Sorbus incana;NA;NA;Røn (intet dansk artsnavn);2
Trochodendron araliodes;NA;NA;Hjultræ;2
+Laburnocytisus adami;NA;NA;Adams guldregn;1
Acer betulifolia;NA;NA;Birkebladet løn;1
Acer capillipes;NA;NA;Rødstilket løn;1
Acer cappadonicum;NA;NA;Tyrkisk løn;1
Acer carpinifolium;NA;NA;Avnbøgbladet løn;1
Acer circinatum;NA;NA;Vinløn;1
Acer cissifolia;NA;NA;Løn (intet dansk artsnavn);1
Acer crataegifolium;NA;NA;Tjørnebladet løn;1
Acer davidii;NA;NA;David-løn;1
Acer elegantuleum;NA;NA;Løn (intet dansk artsnavn);1
Acer globosum;NA;NA;Kugleahorn;1
Acer hybr. freemanii;NA;NA;Freeman-løn;1
Acer hybr. zoeschense;NA;Annae;Hybrid-løn 'Annae';1
Acer japonica;NA;NA;Fuldmåne-løn;1
Acer micranthum;NA;NA;Have-løn;1
Acer monspessulanum;NA;NA;Fransk løn;1
Acer nikoensis;NA;NA;Nikko-løn;1
Acer palmatum;NA;Atropurpureum;Rødbladet japansk løn;1
Acer palmatum;NA;Bloodgood;Japansk løn;1
Acer palmatum;NA;Variegata;Brogetbladet japansk løn;1
Acer pensylvanicum;NA;NA;Stribet løn;1
Acer pseudosieboldianum;NA;NA;Løn (intet dansk artsnavn);1
Aesculus flava;f. virginica;NA;Virginsk hestekastanje;1
Aesculus flava;NA;NA;Gul hestekastanje;1
Aesculus parviflora;NA;NA;Busk-hestekastanje;1
Amelanchier hybr. grandiflora;NA;Autumn Brilliance;Bærmispel (intet dansk artsnavn);1
Aronia hybr. prunifolia;NA;NA;Surbær;1
Betula albosinensis;NA;NA;Rødbirk;1
Betula ermanii;NA;NA;Kamchatka-birk;1
