raw_dansk_navn,common_name,n
Alm. æble 'Angold',Almindelig æble 'Angold',2
Rhusbladet Vingevalnød,Rhusbladet vingevalnød,2
Alm kladrastis,Almindelig kladrastis,2
Japansk Hemlock,Japansk hemlock,1
Rødbladet Stilkeg,Rødbladet stilkeg,1
Kugle ahorn,Kugleahorn,1
Æble rubinola,Almindelig æble 'Rubinola',1
Malus 'Spartan',Almindelig æble 'Spartan',1
Sakhalin Kirsebær,Sakhalinkirsebær,1
Gingko,Tempeltræ,1
Hybrid løn 'Annae',Hybrid-løn,1
Europæisk Judastræ,Europæisk judastræ,1
Elm 'Sapporo Autumn Gold',Hybridelm 'Sapporo Autumn Gold',1
Kirsebær 'Van',Sødkirsebær,1
Tyrkisk Løn,Tyrkisk løn,1
Spansk Ædelgran,Spansk ædelgran,1
Nældetræ,Kinesisk nældetræ,1
Trompetkrone,Hybrid-trompetkrone,1
Alm. æble 'Åkerø Hassel',Almindelig æble 'Åkerø Hassel',1
Fuldmåne Løn,Fuldmåne-løn,1
Hænge ask,Hængeask,1
Tjørnebladet Løn,Tjørnebladet løn,1
Grøn Douglasgran,Grøn douglasgran,1
Pragt robinie,Pragtrobinie,1
Pære 'Grev Moltke',Almindelig pære 'Grev Moltke',1
Adams Guldregn,Adams guldregn,1
Vrietorn,Korsved,1
Ellebladet Røn,Ellebladet røn,1
Poppel,Ontarisk poppel,1
Virginsk hestekastanie,Virginsk hestekastanje,1
Gul Hestekastanje,Gul hestekastanje,1
Askebladet Løn,Askebladet løn,1
Æble 'Gul Gråsten',Almindelig æble 'Gul Gråsten',1
Kaukasisk Blærenød,Kaukasisk blærenød,1
Æble 'Golden Delicious',Almindelig æble 'Golden Delicious',1
Armensk Eg,Armensk eg,1
Hyld,Almindelig hyld,1
Busk-hestekastanie,Busk-hestekastanje,1
Alm. æble 'Säftaholm',Almindelig æble 'Säftaholm',1
Alm. æble 'Goldparmäne',Almindelig æble 'Goldparmäne',1
Elm 'Regal',Hybridelm 'Regal',1
Sophora,Pagodetræ,1
Alm. æble 'Katja',Almindelig æble 'Katja',1
Troldnød,Hybrid-troldnød,1
