uuid,code,column,value_from,value_to,ruleset,message,severity
902bab0d-d6c7-4e36-a511-3470b9f2129e,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
9229646d-99bc-4a3c-b4c5-bc43dceff09f,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
bca6b167-e4c9-44f3-83c8-f30500ba14ab,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
3d8ba91e-10d3-477c-9629-cd7c2150ef6f,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
1d065c87-d78e-496f-ac3c-5d3fe7357b11,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
bf11a147-e739-4d75-922e-9ed54d40e0a9,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
7a4b5e91-a278-449a-8e6c-8a17a085b5e7,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
5f87d39e-8fa5-41f4-8b57-1e1405710059,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
07d69142-62ee-4728-9cb2-d19b9eec0aec,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
c4e0421d-16e6-449d-bc39-f0299fd81868,ILLEGAL_CHAR_LATIN,traeart,Fráxinus pennsylvánica,Fraxinus pennsylvanica,NA,remove accents,NA
d742d78a-2001-4be7-956a-474bd940c576,ILLEGAL_CHAR_LATIN,traeart,Fráxinus pennsylvánica,Fraxinus pennsylvanica,NA,remove accents,NA
7bd1c244-c502-4c56-9b08-4f9ea5d991c6,ILLEGAL_CHAR_LATIN,traeart,Fráxinus pennsylvánica,Fraxinus pennsylvanica,NA,remove accents,NA
efda72ef-f449-4c97-8151-b19d97efe613,ILLEGAL_CHAR_LATIN,traeart,Fráxinus pennsylvánica,Fraxinus pennsylvanica,NA,remove accents,NA
dcd1e18b-c372-4462-bbbb-fda96d3795a3,ILLEGAL_CHAR_LATIN,traeart,Fráxinus pennsylvánica,Fraxinus pennsylvanica,NA,remove accents,NA
1123f0e7-514e-4df3-92e4-3911203c04e7,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
119d9c0d-4ee2-47cd-b9c5-2ee3dfe2dc67,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
f44e36fa-58e5-425a-bf0a-26438aadcfba,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
a244216b-5853-4f8f-8999-5943517502c2,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
485e8e83-2380-4efd-8d24-3b92233862e8,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
1cdb6d54-9704-4469-9cc0-b9af9d899943,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
