order,family,genus,art,art_id,color
Malpighiales,Salicaceae,Populus,Populus hybr. gileadensis,149,#34B679
Malpighiales,Salicaceae,Populus,Populus koreana,150,#33B67A
Malpighiales,Salicaceae,Populus,Populus lasiocarpa,151,#32B67A
Malpighiales,Salicaceae,Populus,Populus nigra,152,#32B67A
Malpighiales,Salicaceae,Populus,Populus simonii,153,#31B57B
Malpighiales,Salicaceae,Populus,Populus sp.,154,#30B57C
Malpighiales,Salicaceae,Populus,Populus tremula,155,#2FB47C
Malpighiales,Salicaceae,Populus,Populus trichocarpa,156,#2FB47C
Malpighiales,Salicaceae,Salix,Salix alba,157,#2EB37C
Malpighiales,Salicaceae,Salix,Salix aurita,158,#2EB37C
Malpighiales,Salicaceae,Salix,Salix caprea,159,#2DB27D
Malpighiales,Salicaceae,Salix,Salix matsudana,160,#2DB27D
Malpighiales,Salicaceae,Salix,Salix pentandra,161,#2DB17E
Malpighiales,Salicaceae,Salix,Salix purpurea,162,#2CB17E
Malpighiales,Salicaceae,Salix,Salix sp.,163,#2BB17E
Malvales,Malvaceae,Hibiscus,Hibiscus syriacus,164,#2AB07F
Malvales,Malvaceae,Tilia,Tilia cordata,165,#2AB07F
Malvales,Malvaceae,Tilia,Tilia euchlora,166,#29AF7F
Malvales,Malvaceae,Tilia,Tilia hybr. europaea,167,#29AF7F
Malvales,Malvaceae,Tilia,Tilia platyphyllos,168,#28AE7F
Malvales,Malvaceae,Tilia,Tilia sp.,169,#28AE80
Malvales,Malvaceae,Tilia,Tilia tomentosa,170,#27AD81
Pinales,Pinaceae,Abies,Abies concolor,171,#27AD81
Pinales,Pinaceae,Abies,Abies nordmanniana,172,#27AD81
Pinales,Pinaceae,Abies,Abies pinsabo,173,#26AD81
Pinales,Pinaceae,Abies,Abies procera,174,#26AD81
Pinales,Pinaceae,Abies,Abies sp.,175,#25AC82
Pinales,Pinaceae,Cedrus,Cedrus atlantica,176,#25AC82
Pinales,Pinaceae,Cedrus,Cedrus deodara,177,#25AB82
Pinales,Pinaceae,Cedrus,Cedrus libani,178,#25AB82
Pinales,Pinaceae,Cedrus,Cedrus sp.,179,#25AA83
Pinales,Pinaceae,Larix,Larix decidua,180,#24AA83
Pinales,Pinaceae,Larix,Larix hybr. eurolepis,181,#24AA83
Pinales,Pinaceae,Larix,Larix kaempferi,182,#23A983
Pinales,Pinaceae,Larix,Larix sp.,183,#23A983
Pinales,Pinaceae,Picea,Picea abies,184,#22A884
Pinales,Pinaceae,Picea,Picea glauca,185,#22A884
Pinales,Pinaceae,Picea,Picea omorika,186,#22A785
